1.5,ENDPOS4,4.388889
2,ENDPOS2,7.777778
1.25,Controller (right),11.98889
1.25,Controller (right),14.6
2,ENDPOS4,17.12222
1.25,Controller (right),22.14445
1.75,ENDPOS2,25.14445
1.5,Controller (right),29.94444
2,ENDPOS2,34.08889
1.5,Controller (right),37.61111
1.5,Controller (right),39.94445
1.5,Controller (right),44.6
1,Controller (right),49.03333
1,Controller (right),53.87778
2,ENDPOS2,56.07778
2,Controller (right),61.87778
1,Controller (right),63.57778
1.25,ENDPOS4,66.38889
1.5,Controller (right),68.65556
1.25,Controller (right),71.16667
2,Controller (right),75.24445
1.5,Controller (right),77.66667
1.75,Controller (right),80.78889
2,Controller (right),84.02222
1.25,ENDPOS4,88.36667
2,Controller (right),91.13334
1.25,ENDPOS4,96.13334
1.5,Controller (right),100.2556
1.25,ENDPOS4,103.3
1,Controller (right),105.6778
1.75,Controller (right),108.9667
1,ENDPOS4,113.3
1,Controller (right),116.5222
1,ENDPOS4,121.1444
1.5,ENDPOS4,122.9778
1,Controller (right),128.2222
1,ENDPOS4,132.3667
1.5,Controller (right),135.8333
1,Controller (right),139.7444
1,Controller (right),144.6111
1.5,ENDPOS2,146.6111
1.25,Controller (right),150.3
1.75,ENDPOS3,152.7222
1.25,Controller (right),155.6889
1,Controller (right),160
1.75,Controller (right),163.4667
1.25,Controller (right),165.9444
2,ENDPOS3,168.2556
1.75,ENDPOS3,173.1111
1.25,Controller (right),176.9556
2,ENDPOS2,179.5
1.75,Controller (right),183.6111
1.5,Controller (right),186.6445
1.75,Controller (right),191.5333
1.75,Controller (right),194.2
1.5,Controller (right),196.9111
2,ENDPOS4,199.9333
2,ENDPOS3,202.2778
2,ENDPOS3,205.4778
1,Controller (right),210.4778
1.75,ENDPOS4,214.4222
1,Controller (right),219.5111
1.75,Controller (right),222.2222
1.5,Controller (right),224.6556
2,Controller (right),226.5667
2,ENDPOS3,228.6889
1.5,ENDPOS4,233.5778
1.5,Controller (right),235.6
1.25,Controller (right),238.6333
1.5,Controller (right),242.2
1.75,Controller (right),246.5444
1.75,ENDPOS2,251.0889
1,Controller (right),256.2222
1,Controller (right),258.7333
1,Controller (right),262.5111
1.75,ENDPOS3,266.6555
1,Controller (right),271.1
1.5,Controller (right),274.8889
1.25,Controller (right),277.1222
1.25,Controller (right),281.2778
1.25,Controller (right),284.7333
1.25,Controller (right),288.8556
1.75,ENDPOS2,291.8111
1.75,ENDPOS2,294.7444
2,Controller (right),297.1667
1,Controller (right),300.2222
1.75,ENDPOS4,303.7222
2,ENDPOS4,307.9
2,Controller (right),310.2889
1.75,ENDPOS5,313.9556
1.75,ENDPOS4,317.4
1,Controller (right),322.0222
1.25,Controller (right),326.7556
1.25,Controller (right),330.9111
2,Controller (right),333.2333
1.25,Controller (right),336.7333
1.5,Controller (right),339.1444
1.5,ENDPOS4,341.9111
1.75,ENDPOS4,345.7
2,Controller (right),
